R##lemma=abba|SubPOS=p|Deg=none## abba	Pd3-sx	abba	az	PRON	PronType=Dem|Person=3|Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=agyon|SubPOS=p|Deg=none## agyon	Nn-sp	agyon	agy	NOUN	Number=Sing|Case=Sup|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=alá|SubPOS=p|Deg=none## alá	Rxp	alá	alá	ADV	PronType=Default|Degree=Pos
R##lemma=által|SubPOS=p|Deg=none## által	St	által	által	ADP	_
R##lemma=alul|SubPOS=p|Deg=none## alul	Rxp	alul	alul	ADV	PronType=Default|Degree=Pos
R##lemma=át|SubPOS=p|Deg=none## át	Rx	át	át	ADV	PronType=Default|Degree=None
R##lemma=át.|SubPOS=p|Deg=none## át.	Rx	át.	át	ADV	PronType=Default|Degree=None
R##lemma=át|SubPOS=p|Deg=none## Át	Rx				
R##lemma=àt|SubPOS=p|Deg=none## àt	Rx	àt	át	ADV	PronType=Default|Degree=None
R##lemma=at|SubPOS=p|Deg=none## at	Rx	at	át	ADV	PronType=Default|Degree=None
R##lemma=bele|SubPOS=p|Deg=none## bele	Pp3-sx	bele	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=bele|SubPOS=p|Deg=none## Bele	Pp3-sx				
R##lemma=belé|SubPOS=p|Deg=none## belé	Pp3-sx	belé	ő	PRON	PronType=Prs|Person=3|Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=be|SubPOS=p|Deg=none## be	Rxp	be	be	ADV	PronType=Default|Degree=Pos
R##lemma=be|SubPOS=p|Deg=none## Be	Rxp				
R##lemma=cserben|SubPOS=p|Deg=none## cserben	Nn-s2	cserben	cser	NOUN	Number=Sing|Case=Ine|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=egybe|SubPOS=p|Deg=none## egybe	Mc-sxl	egybe	egy	NUM	NumType=Card|Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=egyet|SubPOS=p|Deg=none## egyet	Mc-sal	egyet	egy	NUM	NumType=Card|Number=Sing|Case=Acc|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=együtt|SubPOS=p|Deg=none## együtt	Rx	együtt	együtt	ADV	PronType=Default|Degree=None
R##lemma=el-el|SubPOS=p|Deg=none## el-el	Rx	el-el	el-el	ADV	PronType=Default|Degree=None
R##lemma=ellen|SubPOS=p|Deg=none## ellen	St	ellen	ellen	ADP	_
R##lemma=ellent|SubPOS=p|Deg=none## ellent	Nn-sa	ellent	ellen	NOUN	Number=Sing|Case=Acc|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=előre|SubPOS=p|Deg=none## előre	Rxp	előre	előre	ADV	PronType=Default|Degree=Pos
R##lemma=elő|SubPOS=p|Deg=none## elő	Rxp	elő	elő	ADV	PronType=Default|Degree=Pos
R##lemma=el|SubPOS=p|Deg=none## el	Rx	el	el	ADV	PronType=Default|Degree=None
R##lemma=e|SubPOS=p|Deg=none## e	Rx	e	el	ADV	PronType=Default|Degree=None
R##lemma=el.|SubPOS=p|Deg=none## el.	Rx	el.	el	ADV	PronType=Default|Degree=None
R##lemma=el|SubPOS=p|Deg=none## El	Rx				
R##lemma=el|SubPOS=p|Deg=none## EL	Rx				
R##lemma=észre|SubPOS=p|Deg=none## észre	Nn-ss	észre	ész	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=észre|SubPOS=p|Deg=none## Észre	Nn-ss				
R##lemma=félbe|SubPOS=p|Deg=none## félbe	Mf-sxl	félbe	fél	NUM	NumType=Frac|Number=Sing|Case=Ill|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=félre|SubPOS=p|Deg=none## félre	Mf-ssl	félre	fél	NUM	NumType=Frac|Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=fére|SubPOS=p|Deg=none## fére	Mf-ssl	fére	fél	NUM	NumType=Frac|Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=fel|SubPOS=p|Deg=none## fel	Rxp	fel	fel	ADV	PronType=Default|Degree=Pos
R##lemma=fel|SubPOS=p|Deg=none## Fel	Rxp				
R##lemma=felül|SubPOS=p|Deg=none## felül	Rx	felül	felül	ADV	PronType=Default|Degree=None
R##lemma=fenn|SubPOS=p|Deg=none## fenn	Rxp	fenn	fenn	ADV	PronType=Default|Degree=Pos
R##lemma=föl-le|SubPOS=p|Deg=none## föl-le	Rxp	föl-le	föl-le	ADV	PronType=Default|Degree=Pos
R##lemma=föl|SubPOS=p|Deg=none## föl	Rxp	föl	föl	ADV	PronType=Default|Degree=Pos
R##lemma=hátra|SubPOS=p|Deg=none## hátra	Rxp	hátra	hátra	ADV	PronType=Default|Degree=Pos
R##lemma=hátra|SubPOS=p|Deg=none## Hátra	Rxp				
R##lemma=haza|SubPOS=p|Deg=none## haza	Rx	haza	haza	ADV	PronType=Default|Degree=None
R##lemma=haza|SubPOS=p|Deg=none## Haza	Rx				
R##lemma=helyben|SubPOS=p|Deg=none## helyben	Nn-s2	helyben	hely	NOUN	Number=Sing|Case=Ine|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=helyre|SubPOS=p|Deg=none## helyre	Nn-ss	helyre	hely	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
R##lemma=hejre|SubPOS=p|Deg=none## hejre	Nn-ss	hejre	hely	NOUN	Number=Sing|Case=Sub|Number[psor]=None|Person[psor]=None|Number[psed]=None
